GymnastID,HomeAway,Week,Date,MeetID,Event,Score
32682,A,3,2026-01-16,2026-01-16_BYU,AA,
32682,H,3,2026-01-18,2026-01-18_Illinois State,AA,
31908,A,2,2026-01-10,2026-01-10_Iowa,AA,
31908,A,3,2026-01-16,2026-01-16_BYU,AA,
31908,H,3,2026-01-18,2026-01-18_Illinois State,AA,
31910,A,2,2026-01-10,2026-01-10_Iowa,AA,
31910,A,3,2026-01-16,2026-01-16_BYU,AA,
33018,A,2,2026-01-10,2026-01-10_Iowa,AA,
33018,A,3,2026-01-16,2026-01-16_BYU,AA,
33018,H,3,2026-01-18,2026-01-18_Illinois State,AA,
31348,A,2,2026-01-10,2026-01-10_Iowa,AA,
31348,A,3,2026-01-16,2026-01-16_BYU,AA,
31348,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33019,A,2,2026-01-10,2026-01-10_Iowa,AA,
32124,A,2,2026-01-10,2026-01-10_Iowa,AA,
32124,A,3,2026-01-16,2026-01-16_BYU,AA,
32124,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33532,A,2,2026-01-10,2026-01-10_Iowa,AA,
33532,A,3,2026-01-16,2026-01-16_BYU,AA,
33532,H,3,2026-01-18,2026-01-18_Illinois State,AA,
32685,A,2,2026-01-10,2026-01-10_Iowa,AA,
32685,A,3,2026-01-16,2026-01-16_BYU,AA,
32685,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33533,A,2,2026-01-10,2026-01-10_Iowa,AA,
33533,A,3,2026-01-16,2026-01-16_BYU,AA,
33533,H,3,2026-01-18,2026-01-18_Illinois State,AA,
31911,A,2,2026-01-10,2026-01-10_Iowa,AA,
31911,A,3,2026-01-16,2026-01-16_BYU,AA,
31911,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33020,A,2,2026-01-10,2026-01-10_Iowa,AA,
33020,A,3,2026-01-16,2026-01-16_BYU,AA,
33020,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33021,A,2,2026-01-10,2026-01-10_Iowa,AA,
33021,A,3,2026-01-16,2026-01-16_BYU,AA,
33021,H,3,2026-01-18,2026-01-18_Illinois State,AA,
31967,A,2,2026-01-10,2026-01-10_Iowa,AA,
31967,A,3,2026-01-16,2026-01-16_BYU,AA,
31967,H,3,2026-01-18,2026-01-18_Illinois State,AA,
33535,A,1,2026-01-02,2026-01-02_Utah,AA,
33535,H,2,2026-01-10,2026-01-10_Iowa,AA,
33535,H,3,2026-01-17,2026-01-17_Iowa,AA,
33536,A,1,2026-01-02,2026-01-02_Utah,AA,
33536,H,2,2026-01-10,2026-01-10_Iowa,AA,
33536,H,3,2026-01-17,2026-01-17_Iowa,AA,
31918,A,1,2026-01-02,2026-01-02_Utah,AA,
31918,H,2,2026-01-10,2026-01-10_Iowa,AA,
31918,H,3,2026-01-17,2026-01-17_Iowa,AA,
31919,A,1,2026-01-02,2026-01-02_Utah,AA,
31919,H,2,2026-01-10,2026-01-10_Iowa,AA,
31919,H,3,2026-01-17,2026-01-17_Iowa,AA,
33537,A,1,2026-01-02,2026-01-02_Utah,AA,
31920,A,1,2026-01-02,2026-01-02_Utah,AA,
31920,H,2,2026-01-10,2026-01-10_Iowa,AA,
31920,H,3,2026-01-17,2026-01-17_Iowa,AA,
33260,A,1,2026-01-02,2026-01-02_Utah,AA,39.125
33260,H,2,2026-01-10,2026-01-10_Iowa,AA,39.15
33260,H,3,2026-01-17,2026-01-17_Iowa,AA,39.375
32425,H,2,2026-01-10,2026-01-10_Iowa,AA,
31922,A,1,2026-01-02,2026-01-02_Utah,AA,
31922,H,2,2026-01-10,2026-01-10_Iowa,AA,
31922,H,3,2026-01-17,2026-01-17_Iowa,AA,
31357,A,1,2026-01-02,2026-01-02_Utah,AA,
33538,A,1,2026-01-02,2026-01-02_Utah,AA,
33538,H,2,2026-01-10,2026-01-10_Iowa,AA,29.325
33538,H,3,2026-01-17,2026-01-17_Iowa,AA,39.25
33023,A,1,2026-01-02,2026-01-02_Utah,AA,39.125
